Id,Value
1,1037414
2,931148.5
3,931148.5
4,931148.5
5,931148.5
6,921404.1
7,921371.1
8,921371.1
9,921371.1
10,915620.3999999999
11,905970.8999999999
12,905970.8999999999
13,905970.8999999999
14,904307.7
15,904307.7
16,904307.7
17,904307.7
18,904307.7
19,904307.7
20,904307.7
21,724724.3
22,724724.3
23,724724.3
24,724724.3
25,138740.6
26,138740.6
27,138740.6
28,138740.6
29,138740.6
30,138740.6
31,138740.6
32,126385.7
33,126385.7
34,126385.7
35,126385.7
36,83593.4
37,70754.9
38,22772.699999999997
39,22772.699999999997
40,12357.899999999998
41,12357.899999999998
42,12357.899999999998
43,12357.899999999998
44,12357.899999999998
45,12357.899999999998
46,12357.899999999998
47,12357.899999999998
48,12357.899999999998
49,12357.899999999998
50,12357.899999999998
51,12357.899999999998
52,12357.899999999998
53,12357.899999999998
54,12357.899999999998
55,12357.899999999998
56,13134.599999999999
57,13134.599999999999
58,13134.599999999999
59,13134.599999999999
60,13134.599999999999
61,13134.599999999999
62,13134.599999999999
63,13134.599999999999
64,13134.599999999999
65,10185.6
66,10185.6
67,10738.5
68,10053.599999999999
69,10053.599999999999
70,9793.8
71,8213.099999999999
72,8213.099999999999
73,8213.099999999999
74,8213.099999999999
75,8213.099999999999
76,8777.4
77,9304.5
78,9304.5
79,9304.5
80,9304.5
81,9304.5
82,9304.5
83,9304.5
84,9304.5
85,9304.5
86,8580.3
87,8580.3
88,8580.3
89,8580.3
90,10521.9
91,10521.9
92,9885
93,9885
94,11160.9
95,11160.9
96,9571.8
97,9571.8
98,9571.8
99,9571.8
100,9571.8
101,9571.8
102,9571.8
103,9571.8
104,11144.099999999999
105,11144.099999999999
106,11144.099999999999
107,11144.099999999999
108,11144.099999999999
109,11144.099999999999
110,11144.099999999999
111,11144.099999999999
112,11144.099999999999
113,11144.099999999999
114,11144.099999999999
115,11144.099999999999
116,13973.4
117,13973.4
118,13973.4
119,8245.8
120,8603.099999999999
121,8603.099999999999
122,8603.099999999999
123,8603.099999999999
124,10521.9
125,10521.9
126,10521.9
127,10521.9
128,8680.5
129,8680.5
130,8680.5
131,8680.5
132,8680.5
133,8680.5
134,8680.5
135,8049.6
136,8049.6
137,8049.6
138,8049.6
139,8049.6
140,8049.6
141,8049.6
142,8278.5
143,8278.5
144,8278.5
145,8278.5
146,8278.5
147,8454
148,8454
149,8454
150,8454
151,8454
152,7810.199999999999
153,7710.599999999999
154,7710.599999999999
155,7710.599999999999
156,7710.599999999999
157,8339.4
158,8339.4
159,7710.599999999999
160,7710.599999999999
161,7710.599999999999
162,7566.6
163,7566.6
164,9364.5
165,7896.599999999999
166,7896.599999999999
167,7896.599999999999
168,9538.2
169,9538.2
170,9538.2
171,7684.199999999999
172,7684.199999999999
173,7684.199999999999
174,7684.199999999999
175,7684.199999999999
176,8226.9
177,8226.9
178,8226.9
179,8226.9
180,9130.199999999999
181,9130.199999999999
182,9130.199999999999
183,9538.2
184,9538.2
185,9538.2
186,9538.2
187,9538.2
188,7684.199999999999
189,7684.199999999999
190,7684.199999999999
191,7684.199999999999
192,7684.199999999999
193,7684.199999999999
194,7684.199999999999
195,7684.199999999999
196,7684.199999999999
197,7684.199999999999
198,7684.199999999999
199,7684.199999999999
