Id,Value
1,1037414
2,1026716.9
3,923600.3999999999
4,916722.6
5,911057.3999999999
6,904307.7
7,695851.7
8,695851.7
9,143703.19999999998
10,143703.19999999998
11,143703.19999999998
12,143703.19999999998
13,143703.19999999998
14,143703.19999999998
15,143703.19999999998
16,143703.19999999998
17,143703.19999999998
18,143703.19999999998
19,143703.19999999998
20,143703.19999999998
21,143703.19999999998
22,143703.19999999998
23,143703.19999999998
24,143703.19999999998
25,143703.19999999998
26,143703.19999999998
27,143703.19999999998
28,143703.19999999998
29,143703.19999999998
30,143703.19999999998
31,143703.19999999998
32,143703.19999999998
33,143703.19999999998
34,143703.19999999998
35,143703.19999999998
36,143703.19999999998
37,143703.19999999998
38,115698.2
39,115698.2
40,14277.599999999999
41,14277.599999999999
42,13640.399999999998
43,13640.399999999998
44,13640.399999999998
45,13640.399999999998
46,13640.399999999998
47,13640.399999999998
48,13640.399999999998
49,13640.399999999998
50,13640.399999999998
51,13640.399999999998
52,13640.399999999998
53,13640.399999999998
54,13640.399999999998
55,13640.399999999998
56,13640.399999999998
57,13640.399999999998
58,11085
59,11085
60,11085
61,11085
62,9960.599999999999
63,9960.599999999999
64,9960.599999999999
65,9423
66,9423
67,9423
68,9423
69,9423
70,9423
71,9423
72,9423
73,9423
74,9423
75,11819.699999999999
76,11819.699999999999
77,11819.699999999999
78,11819.699999999999
79,11819.699999999999
80,11819.699999999999
81,11819.699999999999
82,12029.099999999999
83,12029.099999999999
84,12029.099999999999
85,12029.099999999999
86,12029.099999999999
87,12144.899999999998
88,12165
89,12165
90,12165
91,12165
92,10883.4
93,10883.4
94,10883.4
95,10883.4
96,10883.4
97,10883.4
98,10883.4
99,10883.4
100,12893.4
101,12893.4
102,12893.4
103,12893.4
104,9018.3
105,9018.3
106,9018.3
107,9018.3
108,9018.3
109,9018.3
110,9018.3
111,9018.3
112,9018.3
113,9018.3
114,9018.3
115,9018.3
116,9018.3
117,9018.3
118,9018.3
119,9018.3
120,9018.3
121,9018.3
122,9018.3
123,9018.3
124,9018.3
125,8699.7
126,8699.7
127,8699.7
128,9525.3
129,9525.3
130,9525.3
131,9171.9
132,9171.9
133,10375.2
134,10375.2
135,8680.5
136,8680.5
137,8680.5
138,8680.5
139,8680.5
140,8680.5
141,8680.5
142,8680.5
143,8680.5
144,8680.5
145,8680.5
146,8680.5
147,8897.7
148,8897.7
149,8897.7
150,8897.7
151,8897.7
152,8897.7
153,8897.7
154,8897.7
155,8897.7
156,8897.7
157,8897.7
158,8897.7
159,8897.7
160,8897.7
161,8897.7
162,8897.7
163,8897.7
164,8897.7
165,8897.7
166,8897.7
167,8897.7
168,8897.7
169,8897.7
170,8979.3
171,8979.3
172,8979.3
173,8979.3
174,8979.3
175,8979.3
176,8979.3
177,8979.3
178,8979.3
179,8979.3
180,9171.9
181,9171.9
182,9171.9
183,9171.9
184,9171.9
185,9171.9
186,9171.9
187,9171.9
188,9171.9
189,9171.9
190,9171.9
191,9171.9
192,9171.9
193,9171.9
194,9171.9
195,9171.9
196,9171.9
197,9171.9
198,9525.3
199,9525.3
200,9525.3
201,9525.3
202,9525.3
203,9525.3
204,9525.3
205,8782.8
206,8782.8
207,8782.8
208,8782.8
209,8782.8
210,8782.8
211,8782.8
212,8782.8
213,8782.8
214,8782.8
215,8782.8
216,8782.8
217,8782.8
218,8782.8
219,8413.8
220,8413.8
221,8413.8
222,8413.8
223,8413.8
224,8163
225,8163
226,8163
227,8288.099999999999
228,8288.099999999999
229,8288.099999999999
230,8288.099999999999
231,8288.099999999999
232,8288.099999999999
233,8288.099999999999
234,8288.099999999999
235,8288.099999999999
236,8288.099999999999
237,8288.099999999999
238,8288.099999999999
239,8288.099999999999
240,8288.099999999999
241,8288.099999999999
242,8288.099999999999
243,8288.099999999999
244,8288.099999999999
245,8454
246,7951.799999999999
247,7951.799999999999
248,7933.799999999999
249,7933.799999999999
250,7933.799999999999
251,7933.799999999999
252,7933.799999999999
253,7933.799999999999
254,7933.799999999999
255,7933.799999999999
256,7933.799999999999
257,7933.799999999999
258,7933.799999999999
259,7933.799999999999
260,7933.799999999999
261,7933.799999999999
262,7933.799999999999
263,8278.5
264,8278.5
265,8278.5
266,8278.5
267,7823.099999999999
268,7823.099999999999
269,7823.099999999999
270,7823.099999999999
271,7933.799999999999
272,7933.799999999999
273,7933.799999999999
274,7933.799999999999
275,7933.799999999999
276,7933.799999999999
277,7933.799999999999
278,7932
279,7932
280,7932
281,7932
282,7932
283,7932
284,7932
285,7932
286,7932
287,7932
288,7932
289,7932
290,7932
291,7932
292,7932
293,7932
294,7932
295,7932
296,7932
297,8213.099999999999
298,8213.099999999999
299,8213.099999999999
300,8163
301,8163
302,8163
303,8163
304,8163
305,8163
306,8163
307,8163
308,8163
309,8163
310,8163
311,8163
312,8163
313,8163
314,7933.799999999999
315,7933.799999999999
316,7933.799999999999
317,7933.799999999999
318,7933.799999999999
319,7933.799999999999
320,7933.799999999999
321,7933.799999999999
322,7933.799999999999
323,7933.799999999999
324,7933.799999999999
325,7933.799999999999
326,7933.799999999999
327,7933.799999999999
328,7933.799999999999
329,7933.799999999999
330,7933.799999999999
331,7933.799999999999
332,7933.799999999999
333,7933.799999999999
334,7933.799999999999
335,7933.799999999999
336,7933.799999999999
337,7933.799999999999
338,7933.799999999999
339,7933.799999999999
340,7933.799999999999
341,7933.799999999999
342,7932
343,7932
344,7932
345,7932
346,7932
347,7932
348,7932
349,7932
350,7932
351,7932
352,7932
353,7932
354,7932
355,7932
356,7932
357,7932
358,7932
359,7932
360,7932
361,7932
362,7932
363,7932
364,7932
365,7932
366,7932
367,7932
368,7932
369,7932
370,7932
371,7932
372,7932
373,7932
374,7932
375,7932
376,7932
377,7932
378,7932
379,7932
380,7932
381,7933.799999999999
382,7933.799999999999
383,7933.799999999999
384,7933.799999999999
385,7933.799999999999
386,7933.799999999999
387,7933.799999999999
388,7933.799999999999
389,7933.799999999999
390,7933.799999999999
391,7933.799999999999
392,7933.799999999999
393,8163
394,8163
395,8163
396,8163
397,8163
398,8163
399,8163
400,8163
401,8288.099999999999
402,8288.099999999999
403,8288.099999999999
404,8288.099999999999
405,8288.099999999999
406,8288.099999999999
407,8288.099999999999
408,7823.099999999999
409,7823.099999999999
410,7823.099999999999
411,7684.199999999999
412,7810.199999999999
413,7810.199999999999
414,7810.199999999999
415,7810.199999999999
416,7810.199999999999
417,7810.199999999999
418,8454
419,8454
420,8454
421,8454
422,8454
423,8454
424,8454
425,8454
426,8454
427,8454
428,8454
429,8454
430,8454
431,8454
432,8454
433,8454
434,8454
435,8454
436,8454
437,8454
438,8454
439,8454
440,8454
441,8454
442,8397
443,8397
444,8397
445,8397
446,8397
447,8397
448,8397
449,8397
450,8397
451,8397
452,8397
453,8397
454,8397
455,8397
456,8397
457,8397
458,8397
459,8397
460,8397
461,8397
462,8397
463,8397
464,8397
465,8397
466,9183.599999999999
467,8922
468,8755.8
469,8755.8
470,8755.8
471,8755.8
472,8755.8
473,8413.8
474,8755.8
475,8755.8
476,7933.799999999999
477,7933.799999999999
478,7933.799999999999
479,7933.799999999999
480,7933.799999999999
481,7933.799999999999
482,7933.799999999999
483,7933.799999999999
484,7933.799999999999
485,7933.799999999999
486,7810.199999999999
487,7823.099999999999
488,7823.099999999999
489,7823.099999999999
490,7823.099999999999
491,7823.099999999999
492,7823.099999999999
493,7823.099999999999
494,7823.099999999999
495,7823.099999999999
496,7823.099999999999
497,7823.099999999999
498,7823.099999999999
499,7823.099999999999
500,7684.199999999999
501,7684.199999999999
502,7684.199999999999
503,7684.199999999999
504,7684.199999999999
505,7684.199999999999
506,7684.199999999999
507,7684.199999999999
508,7684.199999999999
509,7684.199999999999
510,7755
511,7755
512,7755
513,7755
514,7755
515,7755
516,7755
517,7755
518,7755
519,7755
520,7755
521,7755
522,7755
523,7755
524,7755
525,7755
526,7755
527,7755
528,7755
529,7755
530,7755
531,7755
532,7755
533,7755
534,7755
535,7755
536,7755
537,7755
538,7755
539,7755
540,7755
541,7755
542,7755
543,7755
544,7755
545,8058.5999999999985
546,8058.5999999999985
547,8058.5999999999985
548,8058.5999999999985
549,8058.5999999999985
550,8058.5999999999985
551,8058.5999999999985
552,8058.5999999999985
553,8058.5999999999985
554,8058.5999999999985
555,8058.5999999999985
556,8058.5999999999985
557,8058.5999999999985
558,8058.5999999999985
559,8058.5999999999985
560,7566.6
561,7566.6
562,7566.6
563,7566.6
564,7566.6
565,7566.6
566,7566.6
567,7755
568,7755
569,7755
570,7755
571,7755
572,7710.599999999999
573,7710.599999999999
574,7710.599999999999
575,7710.599999999999
576,8339.4
577,8339.4
578,7896.599999999999
579,7896.599999999999
580,7896.599999999999
581,7896.599999999999
582,7896.599999999999
583,7684.199999999999
584,7684.199999999999
585,7684.199999999999
586,7684.199999999999
587,7684.199999999999
588,7684.199999999999
589,7684.199999999999
590,7755
591,7755
592,7755
593,7755
594,7755
595,7710.599999999999
596,7710.599999999999
597,7710.599999999999
598,7710.599999999999
599,7710.599999999999
600,7710.599999999999
601,7710.599999999999
602,7710.599999999999
603,7710.599999999999
604,7710.599999999999
605,7755
606,7755
607,7755
608,7755
609,7755
610,7755
611,7755
612,7755
613,7755
614,7755
615,7755
616,7755
617,7755
618,7566.6
619,7566.6
620,7566.6
621,7566.6
