Id,Value
1,1037414
2,949259
3,949259
4,925286.7
5,925286.7
6,925286.7
7,928206.1
8,928206.1
9,940181
10,906065.3999999999
11,906065.3999999999
12,906065.3999999999
13,906065.3999999999
14,906065.3999999999
15,911451.8999999999
16,911451.8999999999
17,911451.8999999999
18,924180.1
19,924180.1
20,936828.8999999999
21,936828.8999999999
22,936828.8999999999
23,914503.5
24,914503.5
25,914503.5
26,914503.5
27,905775.6
28,905775.6
29,911566.2
30,911566.2
31,911566.2
32,911566.2
33,911566.2
34,915763.7999999999
35,411016.39999999997
36,119368.99999999999
37,119368.99999999999
38,119368.99999999999
39,131917.1
40,131917.1
41,131917.1
42,131917.1
43,131917.1
44,128539.09999999999
45,128539.09999999999
46,128539.09999999999
47,128539.09999999999
48,99441.2
49,99441.2
50,108872.9
51,108872.9
52,106981.1
53,78488.59999999999
54,78488.59999999999
55,78488.59999999999
56,78488.59999999999
57,14786.099999999999
58,14786.099999999999
59,14786.099999999999
60,14786.099999999999
61,14786.099999999999
62,14786.099999999999
63,14786.099999999999
64,14786.099999999999
65,14786.099999999999
66,14486.999999999998
67,14486.999999999998
68,10785.3
69,10785.3
70,10785.3
71,10785.3
72,10785.3
73,11779.199999999999
74,11779.199999999999
75,11779.199999999999
76,11779.199999999999
77,11779.199999999999
78,11779.199999999999
79,11779.199999999999
80,11779.199999999999
81,11779.199999999999
82,11779.199999999999
83,11779.199999999999
84,11779.199999999999
85,11779.199999999999
86,11779.199999999999
87,16572.3
88,9612.3
89,10235.699999999999
90,10235.699999999999
91,11580
92,10971.9
93,10971.9
94,10971.9
95,15710.4
96,15710.4
97,15710.4
98,15710.4
99,15710.4
100,15710.4
101,15710.4
102,24690.6
103,14544.599999999999
104,14544.599999999999
105,14544.599999999999
106,14544.599999999999
107,13015.5
108,13015.5
109,13015.5
110,14003.099999999999
111,14003.099999999999
112,14003.099999999999
113,14003.099999999999
114,14003.099999999999
115,14003.099999999999
116,16925.399999999998
117,16925.399999999998
118,16925.399999999998
119,16925.399999999998
120,20918.399999999998
121,16442.1
122,16442.1
123,16442.1
124,16442.1
125,16442.1
126,9868.8
127,9284.4
128,9284.4
129,9284.4
130,9284.4
131,9284.4
132,13443.599999999999
133,9503.699999999999
134,9503.699999999999
135,9503.699999999999
136,18455.1
137,18455.1
138,18455.1
139,9503.699999999999
140,9420.9
141,16334.399999999998
142,16334.399999999998
143,16334.399999999998
144,9854.699999999999
145,10521.9
146,10521.9
147,10521.9
148,10521.9
149,12889.2
150,12889.2
151,8658.6
152,8658.6
153,8658.6
154,8580.3
155,8658.6
156,8296.5
157,8296.5
158,8296.5
159,8296.5
160,8296.5
161,8296.5
162,8397
163,9525.3
164,22742
165,22742
166,9284.4
167,26548.399999999998
168,26548.399999999998
169,12938.399999999998
170,12938.399999999998
171,10729.199999999999
172,7810.199999999999
173,7710.599999999999
174,7710.599999999999
175,13465.2
176,8058.5999999999985
177,13317.6
178,13317.6
179,9197.099999999999
180,9197.099999999999
181,9197.099999999999
182,9197.099999999999
183,13387.2
184,9197.099999999999
185,9197.099999999999
186,8058.5999999999985
187,7566.6
188,13317.6
189,8058.5999999999985
190,8058.5999999999985
191,8152.199999999999
192,13560
193,13560
194,13560
195,13560
196,13465.2
197,9475.5
198,9475.5
199,9475.5
200,7933.799999999999
201,7933.799999999999
202,7933.799999999999
203,7933.799999999999
204,7933.799999999999
205,7933.799999999999
206,7933.799999999999
207,7933.799999999999
208,9801.9
