Id,Value
1,746139.2
2,735999.7999999999
3,751081.7999999999
4,751081.7999999999
5,751081.7999999999
6,746410.8
7,754880.0999999999
8,748417.8
9,750005.0999999999
10,748482
11,750244.2
12,752550.6
13,746572.5
14,744787.5
15,741971.4
16,741971.4
17,741971.4
18,741971.4
19,746421.9
20,744298.2
21,446812.5
22,446812.5
23,446812.5
24,446812.5
25,446812.5
26,446812.5
27,446812.5
28,162452.4
29,160607.69999999998
30,153184.5
31,153184.5
32,153184.5
33,153150.59999999998
34,153150.59999999998
35,153544.19999999998
36,152995.8
37,152698.8
38,152698.8
39,152698.8
40,152500.19999999998
41,152651.69999999998
42,152651.69999999998
43,152651.69999999998
44,152651.69999999998
45,152651.69999999998
46,152946.3
47,152636.1
48,152907.3
49,152907.3
50,152907.3
51,152258.69999999998
52,152692.49999999997
53,152794.8
54,152946.3
55,152318.09999999998
56,152318.09999999998
57,152318.09999999998
58,152109.6
59,153768.9
60,152198.09999999998
61,152198.09999999998
62,152235.6
63,152577.3
64,152577.3
65,151991.4
66,151875.3
67,151875.3
68,151875.3
69,151875.3
70,151756.2
71,151756.2
72,152253.3
73,152048.1
74,152048.1
75,152048.1
76,152048.1
77,152048.1
78,151842.9
79,151842.9
80,151842.9
81,151842.9
82,151842.9
83,152048.1
84,152048.1
85,151842.9
86,152253.3
87,151842.9
88,151842.9
89,151872.59999999998
90,151872.59999999998
91,151872.59999999998
92,151872.59999999998
93,151872.59999999998
94,151842.9
95,151842.9
96,152048.1
97,152663.69999999998
98,152663.69999999998
99,152663.69999999998
100,152123.1
101,152085.59999999998
102,151932
103,151875.3
104,151875.3
105,151875.3
106,151875.3
107,151875.3
108,151875.3
109,151875.3
110,151875.3
111,151875.3
112,151875.3
113,151875.3
114,151875.3
115,152197.8
116,152197.8
117,152389.19999999998
118,152447.09999999998
119,152447.09999999998
120,152447.09999999998
121,152447.09999999998
122,152434.49999999997
123,151961.69999999998
124,152094.59999999998
125,152577.3
126,152577.3
127,152577.3
128,152577.3
129,152454.3
130,152454.3
131,152454.3
132,152333.09999999998
133,152333.09999999998
134,152333.09999999998
135,152333.09999999998
136,152094.59999999998
137,152094.59999999998
138,152094.59999999998
139,152094.59999999998
140,152094.59999999998
141,152094.59999999998
142,151961.69999999998
143,151961.69999999998
144,151961.69999999998
145,151961.69999999998
146,151991.4
147,151991.4
148,151991.4
149,151991.4
150,151932
151,151932
152,151932
153,151932
154,151932
155,152153.39999999997
156,152153.39999999997
157,152153.39999999997
158,152153.39999999997
159,152153.39999999997
160,152153.39999999997
161,151932
162,151932
163,151932
164,151932
165,151932
166,151932
167,151932
168,151961.69999999998
169,151932
170,151902.3
171,151872.59999999998
172,151756.2
173,151756.2
174,151756.2
175,151756.2
176,151756.2
177,151756.2
178,151756.2
179,151756.2
180,151756.2
181,151756.2
182,151756.2
183,151756.2
184,151756.2
185,151756.2
186,151756.2
187,151756.2
188,151756.2
189,151756.2
190,151756.2
191,151756.2
192,151756.2
193,151756.2
194,151756.2
195,151756.2
196,151756.2
197,151756.2
198,151756.2
199,151756.2
200,151756.2
201,151756.2
202,151932
203,151932
204,152033.1
205,151932
206,151932
207,151932
208,151932
209,151829.69999999998
210,151829.69999999998
211,151829.69999999998
212,151829.69999999998
213,151829.69999999998
214,151829.69999999998
215,151829.69999999998
216,151829.69999999998
217,151829.69999999998
218,151829.69999999998
219,151829.69999999998
220,151829.69999999998
221,151829.69999999998
222,151829.69999999998
223,151829.69999999998
224,151829.69999999998
225,151829.69999999998
226,151829.69999999998
227,151829.69999999998
228,151829.69999999998
229,151829.69999999998
230,151829.69999999998
231,151829.69999999998
232,151829.69999999998
233,151829.69999999998
234,151829.69999999998
235,151829.69999999998
236,151829.69999999998
237,151829.69999999998
238,151829.69999999998
239,151829.69999999998
240,151829.69999999998
241,151829.69999999998
242,151829.69999999998
243,151829.69999999998
244,151829.69999999998
245,151829.69999999998
246,151829.69999999998
247,151829.69999999998
248,151829.69999999998
249,151829.69999999998
250,151829.69999999998
251,151829.69999999998
252,151829.69999999998
253,151829.69999999998
254,151829.69999999998
255,151829.69999999998
256,151829.69999999998
257,151829.69999999998
258,151829.69999999998
259,151829.69999999998
260,151829.69999999998
261,151829.69999999998
262,151829.69999999998
263,151829.69999999998
264,151829.69999999998
265,151829.69999999998
266,151829.69999999998
267,151829.69999999998
268,151829.69999999998
269,151829.69999999998
270,151829.69999999998
271,151829.69999999998
272,151829.69999999998
273,151902.3
274,151902.3
275,151902.3
276,151902.3
277,151902.3
278,151902.3
279,151872.59999999998
280,151872.59999999998
281,151872.59999999998
